area_code,area_name,previous_week,current_week,change
E09000002,Barking and Dagenham,1.4,5.7,4.3
E09000003,Barnet,2.3,1.5,-0.8
E08000016,Barnsley,54.6,35.1,-19.5
E06000022,Bath and North East Somerset,1,0,-1
E06000055,Bedford,42,18.1,-23.9
E09000004,Bexley,4.5,3.2,-1.3
E08000025,Birmingham,9.6,6.5,-3.1
E06000008,Blackburn with Darwen,32.9,20.8,-12.1
E06000009,Blackpool,10.8,13.6,2.8
E08000001,Bolton,15.8,23.5,7.7
E06000058,"Bournemouth, Christchurch and Poole",1.3,1,-0.3
E06000036,Bracknell Forest,4.1,1.6,-2.5
E08000032,Bradford,69.4,45.8,-23.6
E09000005,Brent,5.1,5.4,0.3
E06000043,Brighton and Hove,5.2,2.4,-2.8
E06000023,"Bristol, City of",1.9,1.9,0
E09000006,Bromley,2.1,0.6,-1.5
E10000002,Buckinghamshire,6.1,3.5,-2.6
E08000002,Bury,13.2,6.3,-6.9
E08000033,Calderdale,12.4,14.8,2.4
E10000003,Cambridgeshire,5.1,3.7,-1.4
E09000007,Camden,1.9,0.4,-1.5
E06000056,Central Bedfordshire,15.9,5.6,-10.3
E06000049,Cheshire East,16,11.3,-4.7
E06000050,Cheshire West and Chester,12.3,9.7,-2.6
E09000001,City of London,0,0,0
E06000052,Cornwall and Isles of Scilly,0.7,1.4,0.7
E06000047,County Durham,5.1,4.5,-0.6
E08000026,Coventry,5.7,1.4,-4.3
E09000008,Croydon,1.6,2.8,1.2
E10000006,Cumbria,5.8,3.6,-2.2
E06000005,Darlington,4.7,0.9,-3.8
E06000015,Derby,24.5,12.8,-11.7
E10000007,Derbyshire,9.7,6.5,-3.2
E10000008,Devon,1,0.4,-0.6
E08000017,Doncaster,17.4,21.2,3.8
E06000059,Dorset,1.1,1.1,0
E08000027,Dudley,3.7,2.2,-1.5
E09000009,Ealing,4.1,6.7,2.6
E06000011,East Riding of Yorkshire,14.1,4.7,-9.4
E10000011,East Sussex,9,4.5,-4.5
E09000010,Enfield,2.7,3.6,0.9
E10000012,Essex,5.8,3.5,-2.3
E08000037,Gateshead,3.5,0.5,-3
E10000013,Gloucestershire,0.6,1,0.4
E09000011,Greenwich,3.1,2.5,-0.6
E09000012,Hackney,2.5,1.4,-1.1
E06000006,Halton,6.2,6.2,0
E09000013,Hammersmith and Fulham,5.9,12.4,6.5
E10000014,Hampshire,1.2,0.4,-0.8
E09000014,Haringey,2.6,3,0.4
E09000015,Harrow,1.6,2.8,1.2
E06000001,Hartlepool,4.3,6.4,2.1
E09000016,Havering,1.9,5.4,3.5
E06000019,"Herefordshire, County of",2.1,1.6,-0.5
E10000015,Hertfordshire,4.6,2.4,-2.2
E09000017,Hillingdon,2.6,5.9,3.3
E09000018,Hounslow,7.4,9.2,1.8
E06000046,Isle of Wight,2.8,2.1,-0.7
E09000019,Islington,2.9,0.8,-2.1
E09000020,Kensington and Chelsea,7.7,6.4,-1.3
E10000016,Kent,13.5,10,-3.5
E06000010,"Kingston upon Hull, City of",22.6,3.8,-18.8
E09000021,Kingston upon Thames,1.1,1.7,0.6
E08000034,Kirklees,30.3,26.2,-4.1
E08000011,Knowsley,6,20.1,14.1
E09000022,Lambeth,0.9,0.3,-0.6
E10000017,Lancashire,15,7.4,-7.6
E08000035,Leeds,19.8,11.7,-8.1
E06000016,Leicester,140.2,141.3,1.1
E10000018,Leicestershire,20.8,17.3,-3.5
E09000023,Lewisham,2,1.7,-0.3
E10000019,Lincolnshire,5.7,3,-2.7
E08000012,Liverpool,6.3,7.7,1.4
E06000032,Luton,26.6,15,-11.6
E08000003,Manchester,21.6,17.5,-4.1
E06000035,Medway,6.1,4.7,-1.4
E09000024,Merton,4.4,5.8,1.4
E06000002,Middlesbrough,7.8,6.4,-1.4
E06000042,Milton Keynes,10.8,4.1,-6.7
E08000021,Newcastle upon Tyne,5.3,3.7,-1.6
E09000025,Newham,3.4,1.7,-1.7
E10000020,Norfolk,4.3,1.6,-2.7
E06000012,North East Lincolnshire,1.9,1.9,0
E06000013,North Lincolnshire,4.7,3.5,-1.2
E06000024,North Somerset,1.4,3.7,2.3
E08000022,North Tyneside,4.9,2.9,-2
E10000023,North Yorkshire,13.8,5,-8.8
E10000021,Northamptonshire,14.8,9.9,-4.9
E06000057,Northumberland,3.4,2.2,-1.2
E06000018,Nottingham,10.6,8.5,-2.1
E10000024,Nottinghamshire,12.6,5.4,-7.2
E08000004,Oldham,38.6,30.1,-8.5
E10000025,Oxfordshire,5.1,4.4,-0.7
E06000031,Peterborough,27.9,18.9,-9
E06000026,Plymouth,1.5,2.3,0.8
E06000044,Portsmouth,0.9,0,-0.9
E06000038,Reading,1.8,3.1,1.3
E09000026,Redbridge,3.6,2.3,-1.3
E06000003,Redcar and Cleveland,0.7,5.1,4.4
E09000027,Richmond upon Thames,1,3.1,2.1
E08000005,Rochdale,53.6,35,-18.6
E08000018,Rotherham,33.6,26.1,-7.5
E06000017,Rutland,2.5,0,-2.5
E08000006,Salford,10.2,7.9,-2.3
E08000028,Sandwell,7.3,5.5,-1.8
E08000014,Sefton,8.3,4.7,-3.6
E08000019,Sheffield,20.6,24.4,3.8
E06000051,Shropshire,13.7,7.2,-6.5
E06000039,Slough,13.4,8.7,-4.7
E08000029,Solihull,4.7,6.5,1.8
E10000027,Somerset,4.7,0.9,-3.8
E06000025,South Gloucestershire,0.4,0.7,0.3
E08000023,South Tyneside,0,0.7,0.7
E06000045,Southampton,5.5,0.4,-5.1
E06000033,Southend-on-Sea,20.8,8.2,-12.6
E09000028,Southwark,3.5,1.6,-1.9
E08000013,St. Helens,6.7,6.7,0
E10000028,Staffordshire,9.4,7.9,-1.5
E08000007,Stockport,12.3,6.5,-5.8
